update,global_step,elapsed_s,train_return,eval_argmax,eval_sample,policy_loss,value_loss,entropy,approx_kl,lr
317,405760,100.0,0.1034,,,0.08768,0.00018,0.32988,0.02851,0.0001518
318,407040,100.2,0.1096,,,0.01376,8e-05,0.42919,0.02705,0.0001497
319,408320,100.4,0.107,,,0.06272,0.0003,0.32699,0.00526,0.0001477
320,409600,101.0,0.1053,0.129,0.1196,0.0395,0.00041,0.28706,0.0116,0.0001456
321,410880,101.2,0.1184,,,0.009,0.00025,0.36095,0.03696,0.0001436
322,412160,101.5,0.1077,,,-0.01057,0.00015,0.29008,0.00326,0.0001415
323,413440,101.7,0.1132,,,0.00034,0.00013,0.26856,0.0059,0.0001395
324,414720,101.9,0.1174,,,0.02413,0.00011,0.23538,0.00964,0.0001374
325,416000,102.1,0.1234,,,-0.11608,3e-05,0.23122,0.00677,0.0001354
326,417280,102.4,0.1197,,,-0.03951,0.00011,0.24133,0.0255,0.0001333
327,418560,102.6,0.1249,,,0.04988,3e-05,0.26085,0.01623,0.0001313
328,419840,103.2,0.1232,0.129,0.1264,-0.17141,3e-05,0.23672,0.02235,0.0001292
329,421120,103.4,0.1267,,,-0.00017,4e-05,0.41939,0.03014,0.0001272
330,422400,103.6,0.0613,,,0.00998,0.00145,0.34936,0.01247,0.0001251
331,423680,103.9,0.0865,,,-0.00568,0.00103,0.32203,0.08417,0.0001231
332,424960,104.2,0.1134,,,0.03743,0.00013,0.29523,0.00681,0.000121
333,426240,104.5,0.1115,,,-0.05181,0.00025,0.22836,0.00576,0.000119
334,427520,104.7,0.1195,,,-0.04029,9e-05,0.32922,0.01477,0.0001169
335,428800,105.0,0.1209,,,0.10421,8e-05,0.26282,0.00574,0.0001149
336,430080,109.1,0.1176,0.129,0.1272,0.09303,0.00043,0.26596,0.05734,0.0001128
337,431360,109.4,0.1239,,,0.09457,0.00021,0.2916,0.01663,0.0001108
338,432640,109.7,0.126,,,-0.02095,3e-05,0.27183,0.05796,0.0001087
339,433920,109.9,0.0709,,,0.13542,0.00172,0.30192,0.0204,0.0001067
340,435200,110.2,0.1018,,,0.07904,0.00081,0.22494,0.01892,0.0001046
341,436480,110.5,0.1213,,,-0.1037,4e-05,0.29767,0.00232,0.0001026
342,437760,110.7,0.1231,,,-0.01052,7e-05,0.25568,0.0072,0.0001005
343,439040,111.0,0.1199,,,-0.06146,6e-05,0.26412,0.00222,9.85e-05
344,440320,111.6,0.1218,0.129,0.1245,-0.09111,9e-05,0.25055,0.00978,9.64e-05
345,441600,111.9,0.1244,,,-0.02378,8e-05,0.23026,0.004,9.44e-05
346,442880,112.1,0.1272,,,-0.07341,8e-05,0.30317,0.01092,9.23e-05
347,444160,112.4,0.1057,,,-0.14745,0.00037,0.2277,0.07107,9.03e-05
348,445440,112.6,0.122,,,0.0379,0.00015,0.25663,0.00391,8.82e-05
349,446720,112.9,0.1256,,,0.15357,5e-05,0.2255,0.01068,8.62e-05
350,448000,113.2,0.1264,,,-0.02089,4e-05,0.22843,0.03517,8.41e-05
351,449280,113.4,0.1242,,,0.04368,0.00015,0.24558,0.04019,8.21e-05
352,450560,114.0,0.125,0.129,0.1266,0.01884,6e-05,0.30397,0.01637,8e-05
353,451840,114.3,0.1255,,,0.01452,0.00012,0.28113,0.01765,7.79e-05
354,453120,114.5,0.1268,,,-0.05004,2e-05,0.24098,0.0173,7.59e-05
355,454400,114.8,0.1279,,,0.07858,6e-05,0.28985,0.0921,7.38e-05
356,455680,115.0,0.1002,,,-0.00115,0.00014,0.3192,0.01036,7.18e-05
357,456960,115.3,0.1063,,,-0.1972,0.00021,0.2508,0.00574,6.97e-05
358,458240,115.5,0.1136,,,0.11117,0.00015,0.32432,0.00313,6.77e-05
359,459520,115.8,0.115,,,-0.01377,9e-05,0.22037,0.00304,6.56e-05
360,460800,116.4,0.1202,0.129,0.1235,0.12477,7e-05,0.2491,0.03934,6.36e-05
361,462080,116.7,0.1191,,,-0.01467,0.00016,0.19253,0.00443,6.15e-05
362,463360,116.9,0.1273,,,-0.05975,3e-05,0.20557,0.00558,5.95e-05
363,464640,117.2,0.1239,,,-0.0973,6e-05,0.19641,0.00997,5.74e-05
364,465920,117.4,0.127,,,0.04281,3e-05,0.26751,0.01328,5.54e-05
365,467200,117.6,0.1257,,,0.06209,6e-05,0.24959,0.01616,5.33e-05
366,468480,117.9,0.1262,,,-0.05193,2e-05,0.23654,0.0043,5.13e-05
367,469760,118.1,0.1267,,,0.12542,2e-05,0.2275,0.00203,4.92e-05
368,471040,118.6,0.1273,0.129,0.1276,0.02725,2e-05,0.17296,0.00149,4.72e-05
369,472320,118.9,0.1269,,,-0.0457,1e-05,0.17449,0.00023,4.51e-05
370,473600,119.1,0.1272,,,-0.03213,0.0,0.22145,0.00059,4.31e-05
371,474880,119.4,0.1247,,,-0.0016,3e-05,0.2058,0.00128,4.1e-05
372,476160,119.6,0.1239,,,0.02719,0.00022,0.20291,0.003,3.9e-05
373,477440,119.9,0.128,,,0.00259,1e-05,0.18393,0.00374,3.69e-05
374,478720,120.1,0.1246,,,0.02568,4e-05,0.22065,0.00838,3.49e-05
375,480000,120.4,0.1282,,,-0.05912,1e-05,0.18717,0.00145,3.28e-05
376,481280,120.9,0.1281,0.129,0.1278,0.07221,1e-05,0.14927,0.00272,3.08e-05
377,482560,121.2,0.1266,,,0.05503,6e-05,0.19166,0.00264,2.87e-05
378,483840,121.4,0.1266,,,0.02272,4e-05,0.1801,0.00183,2.67e-05
379,485120,121.7,0.1275,,,-0.10769,2e-05,0.17014,0.0019,2.46e-05
380,486400,121.9,0.1254,,,0.18614,0.00023,0.21938,0.00469,2.26e-05
381,487680,122.2,0.1265,,,-0.03737,1e-05,0.15277,0.00068,2.05e-05
382,488960,122.4,0.1275,,,0.0116,1e-05,0.17135,0.00075,1.85e-05
383,490240,122.6,0.1261,,,0.0426,0.0001,0.17901,0.0003,1.64e-05
384,491520,123.2,0.1285,0.129,0.1272,0.05861,0.0,0.15736,0.00091,1.44e-05
385,492800,123.5,0.1268,,,-0.0158,2e-05,0.17072,0.00149,1.23e-05
386,494080,123.7,0.1278,,,-0.05896,1e-05,0.17433,0.00134,1.03e-05
387,495360,124.0,0.1265,,,-0.01221,1e-05,0.14227,0.00062,8.2e-06
388,496640,124.2,0.1282,,,-0.12646,2e-05,0.18019,0.01261,6.2e-06
389,497920,124.5,0.1264,,,-0.0283,2e-05,0.19097,0.00202,4.1e-06
390,499200,125.1,0.1277,0.129,0.1275,-0.08075,1e-05,0.1768,0.00055,2.1e-06
