update,global_step,elapsed_s,train_return,eval_argmax,eval_sample,policy_loss,value_loss,entropy,approx_kl,lr
71,90880,23.7,-0.0217,,,0.08974,0.00031,1.2376,0.05602,0.0006564
72,92160,24.2,-0.0277,0.006,-0.0167,0.16435,0.00092,1.10964,0.03955,0.0006544
73,93440,24.4,-0.0238,,,0.02045,0.00054,1.20807,0.02063,0.0006523
74,94720,24.7,-0.0178,,,0.12048,0.00055,1.12175,0.06494,0.0006503
75,96000,24.9,-0.0145,,,-0.00026,0.00139,1.32657,0.02556,0.0006482
76,97280,25.2,-0.0129,,,-0.0927,0.00033,1.25903,0.02049,0.0006462
77,98560,25.4,-0.0214,,,-0.01718,0.00064,1.35667,0.04013,0.0006441
78,99840,25.6,-0.0201,,,0.07979,0.00115,1.251,0.02395,0.0006421
79,101120,25.9,-0.0149,,,-0.03156,0.00105,1.11342,0.021,0.00064
80,102400,26.4,-0.0191,0.029,-0.0223,-0.05464,0.00036,1.02034,0.05581,0.0006379
81,103680,26.7,-0.0278,,,-0.03682,0.00045,1.10418,0.04027,0.0006359
82,104960,26.9,-0.0205,,,-0.1314,0.00063,1.25902,0.01421,0.0006338
83,106240,27.2,-0.016,,,0.03116,0.00048,1.04684,0.06952,0.0006318
84,107520,27.4,-0.0084,,,0.05448,0.00059,1.1072,0.02748,0.0006297
85,108800,27.7,-0.0144,,,0.08115,0.00102,1.15588,0.04446,0.0006277
86,110080,27.9,-0.0095,,,0.03181,0.00042,0.99659,0.03501,0.0006256
87,111360,28.2,-0.0049,,,0.04559,0.00033,0.81031,0.07074,0.0006236
88,112640,28.7,-0.0134,-0.012,-0.0154,-0.13294,0.00023,0.96885,0.08169,0.0006215
89,113920,29.0,-0.0146,,,-0.06341,0.0002,1.0059,0.02674,0.0006195
90,115200,29.2,-0.004,,,0.0262,0.00029,0.96708,0.02681,0.0006174
91,116480,29.5,-0.0126,,,0.05452,0.00062,0.98806,0.10207,0.0006154
92,117760,29.8,0.0009,,,-0.10302,0.00017,0.86587,0.06385,0.0006133
93,119040,30.0,0.0014,,,0.02344,0.00026,0.77281,0.02524,0.0006113
94,120320,30.2,0.0018,,,-0.00322,0.00027,0.93411,0.04372,0.0006092
95,121600,30.4,-0.0011,,,-0.03965,0.00075,1.05064,0.02957,0.0006072
96,122880,31.0,0.0046,0.029,-0.009,0.03375,0.00093,1.01027,0.01093,0.0006051
97,124160,31.2,0.0028,,,-0.066,0.00026,0.93768,0.02082,0.0006031
98,125440,31.5,0.0061,,,0.08844,0.00054,0.88209,0.02258,0.000601
99,126720,31.7,0.0055,,,0.01199,0.00045,0.79931,0.03037,0.000599
100,128000,31.9,0.0031,,,0.01136,0.0008,0.73099,0.0261,0.0005969
101,129280,32.2,0.0108,,,-0.01365,0.00035,0.79773,0.0407,0.0005949
102,130560,32.4,0.017,,,-0.02871,0.00022,0.84382,0.05293,0.0005928
103,131840,32.6,0.0099,,,-0.0209,0.00029,0.7379,0.07836,0.0005908
104,133120,33.2,-0.0084,0.028,0.0162,0.00181,0.00171,0.70506,0.05799,0.0005887
105,134400,33.4,0.0061,,,-0.06876,0.00028,0.76012,0.02126,0.0005867
106,135680,33.7,0.0226,,,0.00258,0.00065,0.71909,0.01888,0.0005846
107,136960,33.9,0.026,,,0.00532,0.00018,0.8271,0.1085,0.0005826
108,138240,34.1,0.002,,,-0.0263,0.00038,0.75836,0.05376,0.0005805
109,139520,34.4,0.0033,,,-0.14711,0.00019,0.70799,0.03224,0.0005785
110,140800,34.6,0.0103,,,0.01592,0.00056,0.77845,0.03227,0.0005764
111,142080,34.8,0.0168,,,-0.03589,0.00031,0.85081,0.02173,0.0005744
112,143360,39.0,0.0199,0.029,0.0231,0.05308,0.00045,0.77682,0.03793,0.0005723
113,144640,39.2,0.0151,,,0.04719,0.00068,0.72315,0.07565,0.0005703
114,145920,39.5,0.0144,,,0.02511,0.00046,0.78663,0.03869,0.0005682
115,147200,39.7,0.0154,,,0.02981,0.00057,0.63441,0.0195,0.0005662
116,148480,40.0,0.019,,,-0.11109,0.00028,0.85224,0.05218,0.0005641
117,149760,40.2,0.0292,,,-0.0831,0.00041,0.80788,0.02468,0.0005621
118,151040,40.5,0.0216,,,0.04268,0.00028,0.76868,0.03786,0.00056
119,152320,40.8,0.0247,,,-0.05047,0.00049,1.03172,0.22586,0.0005579
120,153600,41.4,-0.0275,0.043,-0.0036,0.06066,0.00093,0.84301,0.06692,0.0005559
121,154880,41.6,-0.0061,,,0.02233,0.00078,0.78707,0.03889,0.0005538
122,156160,41.9,0.0023,,,-0.05817,0.00072,0.72803,0.0504,0.0005518
123,157440,42.1,0.0219,,,-0.04841,0.00095,0.90537,0.03819,0.0005497
124,158720,42.4,0.0125,,,-0.0295,0.0007,0.82532,0.03553,0.0005477
125,160000,42.7,0.0234,,,0.00677,0.00025,0.70471,0.04059,0.0005456
126,161280,43.0,0.0314,,,0.09852,0.00038,0.78554,0.10908,0.0005436
127,162560,43.2,0.0229,,,0.03293,0.00062,0.76129,0.40321,0.0005415
128,163840,43.9,0.0314,0.046,0.0435,-0.09004,0.00012,0.72403,0.01493,0.0005395
129,165120,44.1,0.0373,,,-0.07488,5e-05,0.71263,0.01253,0.0005374
130,166400,44.4,0.0359,,,0.01931,0.00026,0.62753,0.03237,0.0005354
131,167680,44.7,0.0321,,,0.01936,0.00044,0.76274,0.13625,0.0005333
132,168960,44.9,-0.0328,,,-0.07071,0.00074,0.71545,0.14039,0.0005313
133,170240,45.2,0.0146,,,-0.1183,0.00051,0.59894,0.03978,0.0005292
134,171520,45.4,0.0364,,,0.04353,0.0002,0.46687,0.11802,0.0005272
135,172800,45.7,0.0191,,,-0.1343,9e-05,0.56234,0.0366,0.0005251
136,174080,46.3,0.0161,0.021,0.025,0.0917,0.00036,0.6623,0.03187,0.0005231
137,175360,46.6,0.0258,,,-0.05913,8e-05,0.73773,0.05467,0.000521
138,176640,46.9,0.0254,,,-0.06064,0.00023,0.72797,0.01957,0.000519
139,177920,47.2,0.0354,,,-0.02923,0.00011,0.70468,0.03924,0.0005169
140,179200,47.4,0.0286,,,-0.00389,0.00028,0.60251,0.07946,0.0005149
141,180480,47.7,0.0276,,,0.02894,0.00026,0.73827,0.03466,0.0005128
142,181760,47.9,0.0378,,,-0.01722,8e-05,0.6871,0.0317,0.0005108
143,183040,48.2,0.0331,,,0.03606,0.00033,0.66578,0.03151,0.0005087
144,184320,48.8,0.0253,0.045,0.0396,-0.04795,0.00043,0.72199,0.05505,0.0005067
145,185600,49.1,0.0334,,,-0.16526,0.00016,0.71752,0.02441,0.0005046
146,186880,49.3,0.0332,,,-0.05929,0.00011,0.63624,0.03374,0.0005026
147,188160,49.6,0.0298,,,0.15905,0.00026,0.64481,0.06935,0.0005005
148,189440,49.9,0.0304,,,-0.09073,0.00032,0.56594,0.0161,0.0004985
149,190720,50.1,0.0444,,,0.04544,0.0002,0.43575,0.00576,0.0004964
150,192000,50.4,0.0412,,,-0.04976,0.00026,0.56039,0.04724,0.0004944
151,193280,50.7,0.0352,,,-0.06141,0.00023,0.56198,0.03505,0.0004923
152,194560,51.3,0.0383,0.049,0.0382,0.03227,8e-05,0.49228,0.03287,0.0004903
153,195840,51.5,0.0408,,,0.05367,0.00028,0.56455,0.05024,0.0004882
154,197120,51.7,0.0182,,,0.00342,0.0008,0.57884,0.15785,0.0004862
155,198400,52.0,0.0324,,,0.02812,0.00019,0.51978,0.09165,0.0004841
156,199680,52.2,0.0341,,,-0.16124,9e-05,0.4756,0.0349,0.0004821
157,200960,52.5,0.043,,,0.02394,0.00016,0.43473,0.01928,0.00048
158,202240,52.7,0.0389,,,-0.06932,0.00017,0.42335,0.00849,0.0004779
159,203520,53.0,0.0418,,,-0.03318,0.00034,0.45794,0.02686,0.0004759
160,204800,53.6,0.0436,0.053,0.047,-0.03848,6e-05,0.45872,0.05551,0.0004738
161,206080,53.8,0.0448,,,0.13748,0.00023,0.49725,0.05951,0.0004718
162,207360,54.1,0.0415,,,-0.10331,0.00029,0.85143,0.66164,0.0004697
163,208640,54.3,-0.0348,,,-0.0104,0.0007,0.68081,0.03237,0.0004677
164,209920,54.5,-0.0219,,,-0.02352,0.00017,0.70968,0.0515,0.0004656
165,211200,54.8,-0.0269,,,-0.05296,0.00047,0.70803,0.02749,0.0004636
166,212480,55.0,-0.014,,,-0.09866,0.00031,0.70672,0.03984,0.0004615
167,213760,55.2,0.0066,,,0.07883,0.00031,0.63196,0.15572,0.0004595
168,215040,55.8,0.0262,0.049,0.0347,0.03475,0.0001,0.5632,0.06825,0.0004574
169,216320,56.0,0.0311,,,-0.0947,0.00025,0.47107,0.03351,0.0004554
170,217600,56.3,0.0405,,,0.02072,9e-05,0.41092,0.02724,0.0004533
171,218880,56.5,0.0471,,,0.02892,0.00011,0.41583,0.02102,0.0004513
172,220160,56.7,0.0387,,,-0.10124,0.00025,0.48427,0.04366,0.0004492
173,221440,57.0,0.0455,,,0.02659,5e-05,0.46121,0.02986,0.0004472
174,222720,57.2,0.0369,,,0.03652,0.00058,0.5316,0.06748,0.0004451
175,224000,57.4,0.0507,,,-0.09602,0.00024,0.51249,0.0603,0.0004431
176,225280,58.0,0.0461,0.053,0.0463,-0.01415,0.00032,0.42108,0.07605,0.000441
177,226560,58.2,0.0433,,,0.02054,0.00031,0.47589,0.02313,0.000439
178,227840,58.4,0.0415,,,0.04751,0.00057,0.54923,0.03955,0.0004369
179,229120,58.7,0.0591,,,-0.10079,0.00024,0.48368,0.01806,0.0004349
180,230400,58.9,0.0663,,,0.02436,0.00038,0.5126,0.02529,0.0004328
181,231680,59.1,0.0575,,,-0.10224,0.00073,0.55898,0.04178,0.0004308
182,232960,59.4,0.0792,,,0.19143,0.00079,0.50069,0.01716,0.0004287
183,234240,59.6,0.0946,,,-0.17771,0.00173,0.4781,0.0219,0.0004267
184,235520,60.2,0.108,0.123,0.0772,0.32677,0.00041,0.45053,0.20181,0.0004246
185,236800,60.4,0.1005,,,0.02548,0.00083,0.34715,0.03134,0.0004226
186,238080,60.6,0.111,,,-0.04849,0.00048,0.44114,0.08212,0.0004205
187,239360,60.9,0.1033,,,-0.01764,0.00027,0.38356,0.03946,0.0004185
188,240640,61.2,0.0893,,,-0.06589,0.00058,0.3779,0.01555,0.0004164
189,241920,61.4,0.0984,,,0.03629,0.00058,0.48791,0.11064,0.0004144
